source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0023051,regulation of signaling,2.096164275399495e-27,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3446,3737,857,21017,0.22932833823922932,0.24869413813116656,query_1,"['GO:0023052', 'GO:0050789']"
GO:BP,GO:0022008,neurogenesis,3.2474222971535014e-27,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",1746,3737,496,21017,0.13272678619213274,0.284077892325315,query_1,"['GO:0007399', 'GO:0030154']"
GO:BP,GO:0050896,response to stimulus,5.722788431096812e-27,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8993,3737,1913,21017,0.5119079475515119,0.21272100522628712,query_1,['GO:0008150']
GO:BP,GO:0009653,anatomical structure morphogenesis,1.8172080703108803e-25,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2692,3737,693,21017,0.18544286861118545,0.25742942050520057,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0007165,signal transduction,3.524225600664437e-25,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",5979,3737,1344,21017,0.35964677548835966,0.22478675363773207,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:0048468,cell development,1.1629043596690174e-24,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2833,3737,719,21017,0.1924003211131924,0.25379456406636075,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:0048699,generation of neurons,5.234279765245308e-24,True,"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",1517,3737,434,21017,0.11613593791811613,0.2860909690177983,query_1,['GO:0022008']
GO:BP,GO:0048513,animal organ development,1.7557390320690065e-23,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3047,3737,758,21017,0.20283649986620284,0.248769281260256,query_1,['GO:0048856']
GO:BP,GO:0030182,neuron differentiation,1.0303360478684545e-22,True,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]",1434,3737,411,21017,0.10998126839710998,0.28661087866108786,query_1,"['GO:0030154', 'GO:0048699']"
GO:BP,GO:0022402,cell cycle process,1.9220243112655994e-21,True,"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]",1280,3737,372,21017,0.09954508964409954,0.290625,query_1,"['GO:0007049', 'GO:0009987']"
GO:BP,GO:0065008,regulation of biological quality,2.7730585513986608e-21,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2847,3737,707,21017,0.1891891891891892,0.24833157709870038,query_1,['GO:0065007']
GO:BP,GO:0035556,intracellular signal transduction,3.229139891422199e-21,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2946,3737,727,21017,0.19454107572919455,0.24677528852681602,query_1,['GO:0007165']
GO:BP,GO:0007049,cell cycle,4.288202503170354e-21,True,"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]",1824,3737,491,21017,0.1313888145571314,0.26918859649122806,query_1,['GO:0009987']
GO:BP,GO:1903047,mitotic cell cycle process,2.235388832085103e-20,True,"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",747,3737,244,21017,0.06529301578806529,0.32663989290495316,query_1,"['GO:0000278', 'GO:0022402']"
GO:BP,GO:0000278,mitotic cell cycle,2.298109279419076e-20,True,"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]",897,3737,280,21017,0.07492641156007493,0.31215161649944256,query_1,['GO:0007049']
GO:BP,GO:0009888,tissue development,9.23559101555327e-20,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",2012,3737,526,21017,0.14075461600214076,0.2614314115308151,query_1,['GO:0048856']
GO:BP,GO:0051179,localization,2.300779238724621e-19,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5521,3737,1224,21017,0.32753545624832753,0.22169896757833726,query_1,['GO:0008150']
GO:BP,GO:0007267,cell-cell signaling,2.3438197408264683e-19,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1316,3737,373,21017,0.09981268397109981,0.28343465045592703,query_1,"['GO:0007154', 'GO:0023052']"
GO:BP,GO:0009966,regulation of signal transduction,2.6653375964915066e-19,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3020,3737,733,21017,0.19614664169119614,0.24271523178807947,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']"
GO:BP,GO:0007010,cytoskeleton organization,2.0498504652930892e-18,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:dph, GOC:jl, GOC:mah]",1517,3737,414,21017,0.11078405137811079,0.27290705339485827,query_1,['GO:0006996']
GO:BP,GO:0098916,anterograde trans-synaptic signaling,2.0944057752557032e-18,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",753,3737,240,21017,0.06422263848006422,0.3187250996015936,query_1,['GO:0099537']
GO:BP,GO:0007268,chemical synaptic transmission,2.0944057752557032e-18,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",753,3737,240,21017,0.06422263848006422,0.3187250996015936,query_1,['GO:0098916']
GO:BP,GO:0099537,trans-synaptic signaling,2.9939912708218523e-18,True,"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]",759,3737,241,21017,0.0644902328070645,0.31752305665349145,query_1,['GO:0099536']
GO:BP,GO:0051128,regulation of cellular component organization,3.7954077232373795e-18,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2398,3737,600,21017,0.16055659620016055,0.25020850708924103,query_1,"['GO:0016043', 'GO:0050794']"
GO:BP,GO:0099536,synaptic signaling,5.404099376494733e-18,True,"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]",783,3737,246,21017,0.06582820444206583,0.31417624521072796,query_1,['GO:0007267']
GO:BP,GO:0051301,cell division,1.689358204834702e-17,True,"""The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."" [GOC:di, GOC:go_curators, GOC:pr]",656,3737,214,21017,0.05726518597805726,0.32621951219512196,query_1,['GO:0009987']
GO:BP,GO:0051239,regulation of multicellular organismal process,5.171865295287001e-17,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2928,3737,703,21017,0.18811881188118812,0.24009562841530055,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0006810,transport,1.0993292840595776e-16,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",4341,3737,981,21017,0.26251003478726254,0.22598479612992398,query_1,['GO:0051234']
GO:BP,GO:0048583,regulation of response to stimulus,1.7945497846815373e-16,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3958,3737,905,21017,0.24217286593524218,0.2286508337544214,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0009628,response to abiotic stimulus,3.956490531547643e-16,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1130,3737,320,21017,0.08563018464008564,0.2831858407079646,query_1,['GO:0050896']
GO:BP,GO:0044770,cell cycle phase transition,9.985811494067732e-16,True,"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]",537,3737,180,21017,0.048166978860048164,0.33519553072625696,query_1,['GO:0022402']
GO:BP,GO:0048666,neuron development,1.3622864080677506e-15,True,"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]",1170,3737,327,21017,0.0875033449290875,0.2794871794871795,query_1,"['GO:0030182', 'GO:0048468']"
GO:BP,GO:0055085,transmembrane transport,1.7692591052917105e-15,True,"""The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."" [GOC:dph, GOC:jid]",1538,3737,407,21017,0.10891089108910891,0.264629388816645,query_1,"['GO:0006810', 'GO:0009987']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,4.006598743495209e-15,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2803,3737,668,21017,0.17875301043617875,0.23831608990367464,query_1,['GO:0007165']
GO:BP,GO:0006811,monoatomic ion transport,1.5709155357537997e-14,True,"""The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]",1256,3737,342,21017,0.09151725983409152,0.27229299363057324,query_1,['GO:0006810']
GO:BP,GO:0031175,neuron projection development,1.9139443941221665e-14,True,"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]",1014,3737,288,21017,0.07706716617607706,0.28402366863905326,query_1,"['GO:0048666', 'GO:0120036']"
GO:BP,GO:0030030,cell projection organization,2.0684155953991966e-14,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, GOC:mah, PMID:16318917]",1615,3737,419,21017,0.11212202301311212,0.2594427244582043,query_1,['GO:0016043']
GO:BP,GO:0044772,mitotic cell cycle phase transition,2.7407779560549775e-14,True,"""The cell cycle process by which a cell commits to entering the next mitotic cell cycle phase."" [GOC:mtg_cell_cycle]",432,3737,150,21017,0.04013914905004014,0.3472222222222222,query_1,"['GO:0044770', 'GO:1903047']"
GO:BP,GO:0034220,monoatomic ion transmembrane transport,2.962408129435147e-14,True,"""A process in which a monoatomic ion is transported across a membrane. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:mah]",1017,3737,288,21017,0.07706716617607706,0.2831858407079646,query_1,"['GO:0006811', 'GO:0055085']"
GO:BP,GO:0048519,negative regulation of biological process,3.716210064977763e-14,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",5865,3737,1256,21017,0.3360984747123361,0.21415174765558398,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0050793,regulation of developmental process,9.122698361507419e-14,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2453,3737,590,21017,0.15788065293015788,0.24052181002853648,query_1,"['GO:0032502', 'GO:0050789']"
GO:BP,GO:0051726,regulation of cell cycle,1.3270993443180264e-13,True,"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]",1104,3737,305,21017,0.08161626973508161,0.276268115942029,query_1,"['GO:0007049', 'GO:0050794']"
GO:BP,GO:0120036,plasma membrane bounded cell projection organization,4.566709401562229e-13,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a plasma membrane bounded prolongation or process extending from a cell, e.g. a cilium or axon."" [GOC:krc]",1572,3737,404,21017,0.10810810810810811,0.25699745547073793,query_1,['GO:0030030']
GO:BP,GO:0051234,establishment of localization,6.200888858162958e-13,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4869,3737,1059,21017,0.2833823922932834,0.2174984596426371,query_1,['GO:0051179']
GO:BP,GO:0000902,cell morphogenesis,7.461022229920625e-13,True,"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]",986,3737,276,21017,0.07385603425207386,0.2799188640973631,query_1,['GO:0009653']
GO:BP,GO:0098655,monoatomic cation transmembrane transport,9.058088156694454e-13,True,"""The process in which a monoatomic cation is transported across a membrane. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:dos, GOC:vw]",832,3737,241,21017,0.0644902328070645,0.28966346153846156,query_1,"['GO:0006812', 'GO:0034220']"
GO:BP,GO:0008283,cell population proliferation,1.4256987057013074e-12,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",2009,3737,493,21017,0.13192400321113193,0.24539571926331508,query_1,['GO:0009987']
GO:BP,GO:0048523,negative regulation of cellular process,2.4339055413495167e-12,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5646,3737,1202,21017,0.32164838105432164,0.2128940843074743,query_1,"['GO:0009987', 'GO:0048519', 'GO:0050794']"
GO:BP,GO:0006996,organelle organization,2.7616481486063245e-12,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",3570,3737,804,21017,0.21514583890821515,0.22521008403361345,query_1,['GO:0016043']
GO:BP,GO:0010564,regulation of cell cycle process,4.257714618233052e-12,True,"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]",724,3737,214,21017,0.05726518597805726,0.2955801104972376,query_1,"['GO:0022402', 'GO:0051726']"
GO:BP,GO:0006812,monoatomic cation transport,5.33350413765883e-12,True,"""The directed movement of a monoatomic cation, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:ai]",1032,3737,283,21017,0.07572919454107573,0.2742248062015504,query_1,['GO:0006811']
GO:BP,GO:0030001,metal ion transport,5.467291873334883e-12,True,"""The directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",875,3737,248,21017,0.06636339309606637,0.2834285714285714,query_1,['GO:0006812']
GO:BP,GO:0006468,protein phosphorylation,5.693540325486725e-12,True,"""The process of introducing a phosphate group on to a protein."" [GOC:hb]",1341,3737,350,21017,0.09365801445009365,0.2609992542878449,query_1,"['GO:0016310', 'GO:0036211']"
GO:BP,GO:0141124,intracellular signaling cassette,7.077313491864297e-12,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1895,3737,466,21017,0.12469895638212469,0.24591029023746702,query_1,['GO:0035556']
GO:BP,GO:0065009,regulation of molecular function,1.0672094679518449e-11,True,"""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]",1611,3737,406,21017,0.10864329676210864,0.25201738050900063,query_1,['GO:0065007']
GO:BP,GO:0098660,inorganic ion transmembrane transport,2.2971614107397603e-11,True,"""The process in which an inorganic ion is transported across a membrane."" [GOC:mah]",903,3737,252,21017,0.06743377040406744,0.27906976744186046,query_1,['GO:0055085']
GO:BP,GO:0061564,axon development,2.8358261008145584e-11,True,"""The progression of an axon over time. Covers axonogenesis (de novo generation of an axon) and axon regeneration (regrowth), as well as processes pertaining to the progression of the axon over time (fasciculation and defasciculation)."" [GOC:dph, GOC:pg, GOC:pr]",526,3737,165,21017,0.044153063955044154,0.31368821292775667,query_1,['GO:0031175']
GO:BP,GO:0098662,inorganic cation transmembrane transport,2.8900525008188278e-11,True,"""A process in which an inorganic cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."" [GOC:mah]",811,3737,231,21017,0.06181428953706181,0.2848335388409371,query_1,['GO:0098660']
GO:BP,GO:0000226,microtubule cytoskeleton organization,3.285184911331621e-11,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins."" [GOC:mah]",663,3737,197,21017,0.052716082419052714,0.2971342383107089,query_1,"['GO:0007010', 'GO:0007017']"
GO:BP,GO:0050804,modulation of chemical synaptic transmission,3.762052090078688e-11,True,"""Any process that modulates the frequency or amplitude of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse. Amplitude, in this case, refers to the change in postsynaptic membrane potential due to a single instance of synaptic transmission."" [GOC:ai]",490,3737,156,21017,0.041744715012041744,0.3183673469387755,query_1,"['GO:0007268', 'GO:0099177']"
GO:BP,GO:0048870,cell motility,4.359957792488271e-11,True,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",1716,3737,425,21017,0.11372758897511373,0.24766899766899766,query_1,['GO:0009987']
GO:BP,GO:0099177,regulation of trans-synaptic signaling,4.563107541472093e-11,True,"""Any process that modulates the frequency, rate or extent of trans-synaptic signaling."" [GOC:dos]",491,3737,156,21017,0.041744715012041744,0.31771894093686354,query_1,"['GO:0010646', 'GO:0023051', 'GO:0099537']"
GO:BP,GO:0009887,animal organ morphogenesis,5.948888552867247e-11,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",1037,3737,280,21017,0.07492641156007493,0.2700096432015429,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0007059,chromosome segregation,6.552574169380363e-11,True,"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:jl, GOC:mah, GOC:mtg_cell_cycle, GOC:vw]",427,3737,140,21017,0.037463205780037465,0.32786885245901637,query_1,['GO:0022402']
GO:BP,GO:0034330,cell junction organization,7.507090703833141e-11,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]",760,3737,218,21017,0.05833556328605834,0.2868421052631579,query_1,['GO:0016043']
